Value,test
Call Center,Call Center
"International Charities, Foundations, and Non-Profit Organizations","International Charities, Foundations, and Non-Profit Organizations"
Certified Local NPO/NGO,Certified Local NPO/NGO
Non-Certified Local NPO/NGO,Non-Certified Local NPO/NGO
Clinic,Clinic
Construction,Construction
Education - Private or Non-stock/profit institutions,Education - Private or Non-stock/profit institutions
Education - Public or government ownership or religious organization,Education - Public or government ownership or religious organization
Energy,Energy
Collection Agencies,Collection Agencies
Financial Institution (Non-Bank),Financial Institution (Non-Bank)
Insurance Activities,Insurance Activities
Lending Company,Lending Company
Pawnshop,Pawnshop
Rural/Cooperatives,Rural/Cooperatives
Universal/Savings Bank,Universal/Savings Bank
Groceries/Supermarkets,Groceries/Supermarkets
"Malls, Retail Shops & Retailer of Gen. Merchandise","Malls, Retail Shops & Retailer of Gen. Merchandise"
Micro Business,Micro Business
Phone Centers,Phone Centers
Holding Company,Holding Company
Multi-level Marketing Firms,Multi-level Marketing Firms
Sales Person/Agent (Freelance),Sales Person/Agent (Freelance)
Textile Store Owner,Textile Store Owner
Trading (Essentials),Trading (Essentials)
Trading (Non-Essentials incl Motor Vehicles),Trading (Non-Essentials incl Motor Vehicles)
Gasoline Station,Gasoline Station
Embassy/Foreign Consulates,Embassy/Foreign Consulates
"Regulatory - BSP, SEC, PSE, PDIC, OIC","Regulatory - BSP, SEC, PSE, PDIC, OIC"
SSS/Pag-ibig/GSIS/Philhealth,SSS/Pag-ibig/GSIS/Philhealth
Government - Others,Government - Others
"Arts, Entertainment and Recreation","Arts, Entertainment and Recreation"
Human Health and Social Activities,Human Health and Social Activities
Parlor,Parlor
Private Hospital or Healthcare Companies,Private Hospital or Healthcare Companies
Government Hospital or Health Center,Government Hospital or Health Center
Accommodation (Hotels / Motels / Resorts),Accommodation (Hotels / Motels / Resorts)
Betting and Gambling-related Activities,Betting and Gambling-related Activities
Dormitories,Dormitories
HR/Recruitment,HR/Recruitment
Household employees not hired via agency,Household employees not hired via agency
"Shuttle Services / Operators of taxis, jeepneys, tricycles, etc.","Shuttle Services / Operators of taxis, jeepneys, tricycles, etc."
Sari-Sari Store,Sari-Sari Store
Street Stall,Street Stall
Informal Sector - Others,Informal Sector - Others
"Computer Consultancy, Programming","Computer Consultancy, Programming"
Telecommunications,Telecommunications
"TV, Publishing, etc.","TV, Publishing, etc."
Information Technology,Information Technology
Manpower Agencies,Manpower Agencies
Customer Relations,Customer Relations
Private Security,Private Security
"Armament Manufacturers, Dealers and Intermediaries","Armament Manufacturers, Dealers and Intermediaries"
Manufacture of Refined Petroleum Products,Manufacture of Refined Petroleum Products
Manufacturing (Essentials),Manufacturing (Essentials)
Manufacturing (Non-Essentials),Manufacturing (Non-Essentials)
Media/Advertising,Media/Advertising
Private Medical Services,Private Medical Services
Government Medical Services,Government Medical Services
Military,Military
Mining,Mining
Non-Voice BPO/Consulting,Non-Voice BPO/Consulting
Pharmacy,Pharmacy
Accounting Firm,Accounting Firm
Auctioneers,Auctioneers
Custom Brokerage Firm,Custom Brokerage Firm
Dealers of Art & Antique,Dealers of Art & Antique
Dealers or Exporters of Jewels/Gem/Precious Metal,Dealers or Exporters of Jewels/Gem/Precious Metal
Interior Design,Interior Design
Law Firm,Law Firm
Veterinary Activities,Veterinary Activities
FMCG,FMCG
Others,Others
Administrative,Administrative
Fishing,Fishing
Forestry,Forestry
Growing of Banana,Growing of Banana
"Growing of Fruits, Veggies, Palay excl Banana","Growing of Fruits, Veggies, Palay excl Banana"
Hog,Hog
Poultry,Poultry
Airlines,Airlines
Automobile,Automobile
