Cust_Industry,Industry,Company Industry,,,Industry (IT Recommendation),,,
0,Others, , , ,Others,, ,Different description of values of Cust_Industry and Company industry
1,Administrative,1,ADM,Administrative,Administrative,, ,Some description in Cust_industry is categorized
2,Fishing, , , ,Fishing,,,New - for further asssessment
3,Forestry, , , ,"Agriculture, Forestry and Fishing",,,
4,Growing of Banana, , , ,Growing of Fruits and Veggies,,,
5,"Growing of Fruits, Veggies, Palay excl Banana", , , ,Growing of Fruits and Veggies,,,
6,Hog, , , ,Hog,,,
7,Poultry, , , ,Poultry,,,
8,Airlines,3,AIR,Airlines,Airlines,,,
9,Automobile,4,ATO,Automobile,Automobile,,,
10,Call Center,5,CCC,Call Center,Call Center,,,
100,Education,8,EDU,Education,Education,,,
101,Government, , , ,Government - others,,,
102,Medical Services,20,MED,Medical Services,Medical Services,,,
103,General Trade,11,GEN,General Trade,General Trade,,,
104,Hospital/Medical Center,14,HMC,Hospital/Medical Center,Hospital/Medical Center,,,
105,"Agriculture, Forestry and Fishing",2,AFF,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing",,,
106,FMCG,10,FMG,FMCG,FMCG,,,
11,"International Charities, Foundations, and Non-Profit Organizations", , , ,"International Charities, Foundations, and Non-Profit Organizations",,,
12,Certified Local NPO/NGO, , , ,Certified Local NPO/NGO,,,
13,Non-Certified Local NPO/NGO, , , ,Non-Certified Local NPO/NGO,,,
14,Clinic,6,CLI,Clinic,Clinic,,,
15,Construction,7,CON,Construction,Construction,,,
16,Education - Private or Non-stock/profit institutions, , , ,Education,,,
17,Education - Public or government ownership or religious organization, , , ,Education,,,
18,Energy,9,EGY,Energy,Energy,,,
19,Collection Agencies, , , ,Collection Agencies,,,
20,Financial Institution (Non-Bank), , , ,Financial Institution (Non-Bank),,,
21,Insurance Activities, , , ,Insurance Activities,,,
22,Lending Company, , , ,Lending Company,,,
23,Pawnshop, , , ,Pawnshop,,,
24,Rural/Cooperatives,30,RRT,Rural/Cooperatives,Rural/Cooperatives,,,
25,Universal/Savings Bank,34,USB,Universal/Savings Bank,Universal/Savings Bank,,,
26,Groceries/Supermarkets, , , ,Groceries/Supermarkets,,,
27,"Malls, Retail Shops & Retailer of Gen. Merchandise", , , ,"Malls, Retail Shops & Retailer of Gen. Merchandise",,,
28,Micro Business, , , ,Micro Business,,,
29,Phone Centers, , , ,Phone Centers,,,
30,Holding Company, , , ,Holding Company,,,
31,Multi-level Marketing Firms, , , ,Multi-level Marketing Firms,,,
32,Sales Person/Agent (Freelance), , , ,Sales Person/Agent (Freelance),,,
33,Textile Store Owner, , , ,Textile Store Owner,,,
34,Trading (Essentials), , , ,Trading (Essentials),,,
35,Trading (Non-Essentials incl Motor Vehicles), , , ,Trading (Non-Essentials incl Motor Vehicles),,,
36,"Underground Business (Retail Sale of Second-hand Goods, Wholesale of Scraps, etc.)", , , ,"Underground Business (Retail Sale of Second-hand Goods, Wholesale of Scraps, etc.)",,,
37,Gasoline Station, , , ,Gasoline Station,,,
38,Embassy/Foreign Consulates, , , ,Embassy/Foreign Consulates,,,
39,"Regulatory - BSP, SEC, PSE, PDIC, OIC", , , ,"Regulatory - BSP, SEC, PSE, PDIC, OIC",,,
40,SSS/Pag-ibig/GSIS/Philhealth, , , ,SSS/Pag-ibig/GSIS/Philhealth,,,
41,Government - Others, , , ,Government - others,,,
42,"Arts, Entertainment and Recreation", , , ,"Arts, Entertainment and Recreation",,,
43,Human Health and Social Activities, , , ,Human Health and Social Activities,,,
44,Parlor, , , ,Parlor,,,
45,Private Hospital or Healthcare Companies, , , ,Private Hospital or Healthcare Companies,,,
46,Government Hospital or Health Center, , , ,Government Hospital or Health Center,,,
47,Accommodation (Hotels / Motels / Resorts),13,HHH,Hospitality/Hotels,Accommodation (Hotels / Motels / Resorts),,,
48,Betting and Gambling-related Activities, , , ,Betting and Gambling-related Activities,,,
